Date,open,high,low,close,volume,dividends,stock splits,returns,vol_30d,vol_252d,sma_50,sma_200,regime
2017-02-07 00:00:00-05:00,20107.619140625,20155.349609375,20068.6796875,20090.2890625,279670000,0.0,0.0,0.0018885072610956843,0.06296779261493954,0.10555673840153806,19772.1837890625,18571.10525390625,1
2017-02-08 00:00:00-05:00,20049.2890625,20068.279296875,20015.330078125,20054.33984375,280410000,0.0,0.0,-0.0017893828524897515,0.06323730615128777,0.10557770431189241,19790.2277734375,18581.490751953126,1
2017-02-09 00:00:00-05:00,20061.73046875,20206.359375,20061.73046875,20172.400390625,325310000,0.0,0.0,0.005887032322920982,0.06534406428982266,0.10545020555184129,19811.7177734375,18592.40115234375,1
2017-02-10 00:00:00-05:00,20211.23046875,20298.2109375,20204.759765625,20269.369140625,312230000,0.0,0.0,0.004807001057001825,0.06402161791905055,0.1041351085781982,19834.6731640625,18603.540244140626,1
2017-02-13 00:00:00-05:00,20338.5390625,20441.48046875,20322.94921875,20412.16015625,314620000,0.0,0.0,0.007044669946772553,0.06640613043875065,0.10255619749882487,19860.444765625,18616.44724609375,1
2017-02-14 00:00:00-05:00,20374.220703125,20504.41015625,20374.01953125,20504.41015625,356580000,0.0,0.0,0.004519364892977995,0.0661179148045615,0.10179295819916523,19886.694375,18630.10109375,1
2017-02-15 00:00:00-05:00,20504.26953125,20620.44921875,20496.029296875,20611.859375,384380000,0.0,0.0,0.005240297961814244,0.065658790058492,0.1007758827071449,19915.5231640625,18643.70458984375,1
2017-02-16 00:00:00-05:00,20627.310546875,20639.869140625,20556.830078125,20619.76953125,354120000,0.0,0.0,0.000383767233517629,0.065467417542935,0.10072054152483363,19943.59375,18658.04888671875,1
2017-02-17 00:00:00-05:00,20564.130859375,20624.05078125,20532.609375,20624.05078125,340620000,0.0,0.0,0.00020762841182642156,0.06479655800316528,0.10069823399667421,19971.0391796875,18672.912841796875,1
2017-02-21 00:00:00-05:00,20663.4296875,20757.640625,20663.369140625,20743.0,336880000,0.0,0.0,0.005767500284577398,0.06589193032884072,0.09996596475891958,19994.906796875,18688.324287109375,1
2017-02-22 00:00:00-05:00,20715.41015625,20781.58984375,20692.390625,20775.599609375,310530000,0.0,0.0,0.0015715956889070792,0.06408441960559778,0.09920678480193267,20018.122578125,18703.499130859374,1
2017-02-23 00:00:00-05:00,20817.2109375,20840.69921875,20746.41015625,20810.3203125,302110000,0.0,0.0,0.0016712250802779494,0.06342192256856721,0.09918287996094448,20039.1919921875,18719.021181640626,1
2017-02-24 00:00:00-05:00,20751.91015625,20821.759765625,20733.94921875,20821.759765625,292540000,0.0,0.0,0.0005497009634267691,0.06265307110060686,0.09845715357620245,20059.69859375,18733.488232421874,1
2017-02-27 00:00:00-05:00,20808.7109375,20851.330078125,20774.759765625,20837.439453125,256540000,0.0,0.0,0.0007530433391074176,0.06116503779471023,0.09836133558988522,20078.2231640625,18749.119833984376,1
2017-02-28 00:00:00-05:00,20833.880859375,20841.240234375,20781.2109375,20812.240234375,339210000,0.0,0.0,-0.001209324149768376,0.06147008014944146,0.09802863596379892,20098.6173828125,18764.57853515625,1
2017-03-01 00:00:00-05:00,20957.2890625,21169.109375,20957.2890625,21115.55078125,392820000,0.0,0.0,0.014573661626970491,0.07066430019850894,0.0968905230842318,20123.88359375,18782.4796875,1
2017-03-02 00:00:00-05:00,21128.91015625,21129.19921875,20996.609375,21002.970703125,319910000,0.0,0.0,-0.005331619302346935,0.07334409704425125,0.09708462277428473,20147.0748046875,18798.940986328125,1
2017-03-03 00:00:00-05:00,21008.75,21039.9609375,20953.859375,21005.7109375,254420000,0.0,0.0,0.0001304688947927346,0.07162385169888015,0.09707146165055432,20169.5278125,18816.319638671874,1
2017-03-06 00:00:00-05:00,20955.7109375,20986.4296875,20912.109375,20954.33984375,266620000,0.0,0.0,-0.0024455774861821267,0.07231989698920387,0.09708592000513741,20189.1222265625,18833.4582421875,1
2017-03-07 00:00:00-05:00,20934.890625,20970.5390625,20901.259765625,20924.759765625,274630000,0.0,0.0,-0.0014116444777344528,0.07233149292169604,0.09706193088322683,20208.778203125,18850.9050390625,1
2017-03-08 00:00:00-05:00,20940.439453125,20951.439453125,20835.580078125,20855.73046875,296780000,0.0,0.0,-0.0032989290031611995,0.07287335112264642,0.09687697283397603,20227.5151953125,18867.678994140624,1
2017-03-09 00:00:00-05:00,20864.3203125,20900.5703125,20777.16015625,20858.189453125,275960000,0.0,0.0,0.00011790449529858194,0.07049523572107261,0.09687083600126123,20246.0027734375,18884.50529296875,1
2017-03-10 00:00:00-05:00,20919.009765625,20940.2890625,20827.66015625,20902.98046875,315430000,0.0,0.0,0.0021474066924964674,0.07053301413968524,0.0968729883948699,20265.1616015625,18900.48994140625,1
2017-03-13 00:00:00-04:00,20899.279296875,20926.060546875,20845.7109375,20881.48046875,289260000,0.0,0.0,-0.0010285614547715927,0.07069843176203669,0.0961384458550478,20286.1176171875,18915.639794921874,1
2017-03-14 00:00:00-04:00,20848.599609375,20874.0,20786.310546875,20837.369140625,246820000,0.0,0.0,-0.0021124617189386408,0.06796363818941085,0.09618199372845138,20306.4694140625,18930.6851953125,1
2017-03-15 00:00:00-04:00,20874.779296875,20977.470703125,20859.599609375,20950.099609375,306590000,0.0,0.0,0.005410014478757663,0.06575263999787719,0.09629234707097352,20330.2194140625,18946.06958984375,1
2017-03-16 00:00:00-04:00,20969.26953125,21000.109375,20893.5,20934.55078125,264360000,0.0,0.0,-0.000742183971194188,0.06615115421516674,0.09623968499459142,20351.275234375,18961.80634765625,1
2017-03-17 00:00:00-04:00,20965.369140625,20980.509765625,20911.0703125,20914.619140625,535280000,0.0,0.0,-0.0009520930653478255,0.06634958671072538,0.0959001493382531,20370.7244140625,18977.43109375,1
2017-03-20 00:00:00-04:00,20916.26953125,20955.44921875,20885.69921875,20905.859375,253610000,0.0,0.0,-0.00041883457528446577,0.06244581914278782,0.0957057753340682,20390.8558203125,18992.767587890627,1
2017-03-21 00:00:00-04:00,20956.330078125,20970.0390625,20653.259765625,20668.009765625,369320000,0.0,0.0,-0.011377174461406181,0.07233624410693054,0.09646319378342584,20404.94,19007.072333984375,1
2017-03-22 00:00:00-04:00,20640.419921875,20686.2109375,20578.94921875,20661.30078125,325090000,0.0,0.0,-0.0003246071804242634,0.07238928952158102,0.0964213965694432,20420.4183984375,19020.7771875,1
2017-03-23 00:00:00-04:00,20645.0703125,20757.890625,20618.619140625,20656.580078125,280050000,0.0,0.0,-0.0002284804415259023,0.07201741150042969,0.09628381576941228,20436.4394140625,19034.36869140625,1
2017-03-24 00:00:00-04:00,20674.44921875,20718.330078125,20529.669921875,20596.720703125,292980000,0.0,0.0,-0.002897835690787498,0.07133117187286739,0.09635008084343771,20449.2882421875,19047.327041015626,1
2017-03-27 00:00:00-04:00,20488.349609375,20578.4609375,20412.80078125,20550.98046875,269380000,0.0,0.0,-0.0022207532468049296,0.07072382538446931,0.09639201837143888,20462.4878515625,19060.15599609375,1
2017-03-28 00:00:00-04:00,20542.140625,20735.609375,20520.099609375,20701.5,299670000,0.0,0.0,0.007324201951283138,0.07095391449879049,0.0964977112344278,20478.8032421875,19074.336796875,1
2017-03-29 00:00:00-04:00,20675.75,20684.73046875,20625.029296875,20659.3203125,238320000,0.0,0.0,-0.002037518416539874,0.0702507786799547,0.09644774587890115,20495.4542578125,19088.97099609375,1
2017-03-30 00:00:00-04:00,20662.7890625,20753.779296875,20643.599609375,20728.490234375,270900000,0.0,0.0,0.003348121856320052,0.06929273307105445,0.0964554641651982,20513.9296484375,19104.239345703125,1
2017-03-31 00:00:00-04:00,20700.33984375,20722.58984375,20660.6796875,20663.220703125,303770000,0.0,0.0,-0.003148783655345988,0.0699632559180608,0.09637476709526806,20532.5460546875,19119.354599609374,1
2017-04-03 00:00:00-04:00,20665.169921875,20692.33984375,20517.8203125,20650.2109375,285670000,0.0,0.0,-0.0006296097695472902,0.06999201018127588,0.09630957888939227,20549.0052734375,19133.94015625,1
2017-04-04 00:00:00-04:00,20634.939453125,20701.2890625,20605.30078125,20689.240234375,237390000,0.0,0.0,0.0018900192832473905,0.0681174973331539,0.095968559220195,20566.7930859375,19149.010556640624,1
2017-04-05 00:00:00-04:00,20745.060546875,20887.5,20639.55078125,20648.150390625,284980000,0.0,0.0,-0.001986048945467278,0.06814940035957721,0.09583099356937737,20581.501875,19163.226962890625,1
2017-04-06 00:00:00-04:00,20653.76953125,20746.4609375,20612.169921875,20662.94921875,251720000,0.0,0.0,0.0007167144681259341,0.06797805202487665,0.09525465061638956,20593.3906640625,19177.393056640623,1
2017-04-07 00:00:00-04:00,20647.810546875,20726.0703125,20606.94921875,20656.099609375,219730000,0.0,0.0,-0.00033149233937934675,0.06793841067434961,0.09525051787752012,20604.494453125,19191.769404296876,1
